task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count
aime/aime_ii-2,aime,aime_ii-2,19,7,0.2692307692307692,0.9631578947368421,0.11792292896004251,0.5,1.0,0.9730769230769231,-0.22831078875423497,0.8660100916649889,0.10301346324184486,saturated,0,0
aime/aime_ii-3,aime,aime_ii-3,20,6,0.23076923076923078,0.8633333499999999,0.2255610144112397,0.2,1.0,0.8948718076923078,-0.5256409615384616,1.0301981379737843,0.48893114043462055,easy,0,0
aime/aime_ii-4,aime,aime_ii-4,20,6,0.23076923076923078,0.96,0.1019803902718557,0.6,1.0,0.9692307692307692,-0.30171713098182157,0.8924913094081868,0.18786413614727265,saturated,0,0
aime/aime_ii-5,aime,aime_ii-5,19,7,0.2692307692307692,0.8105263157894737,0.24686398735912787,0.2,1.0,0.8615384615384616,-0.46153846153846156,0.7571704133453026,0.5377748822141991,easy,0,0
aime/aime_ii-6,aime,aime_ii-6,19,7,0.2692307692307692,0.8973684210526316,0.2003113919366849,0.25,1.0,0.925,-0.7500000000000001,1.7718417189249942,0.23949748714854965,easy,0,0
aime/aime_ii-7,aime,aime_ii-7,20,6,0.23076923076923078,0.77,0.2776688675382964,0.0,1.0,0.7769230769230769,-0.05769230769230778,0.609648749390283,0.27462742841568144,easy,0,0
aime/aime_ii-8,aime,aime_ii-8,19,7,0.2692307692307692,0.9052631578947368,0.2282050883018821,0.0,1.0,0.9307692307692308,-0.6923076923076923,1.9955571955496694,0.3277534003520493,easy,0,0
aime/aime_ii-9,aime,aime_ii-9,19,7,0.2692307692307692,0.7710526315789474,0.2720854110644807,0.2,1.0,0.7788461538461539,-0.052884615384615453,0.5823661501497461,0.3482040698410164,easy,0,0
algotune/algotune-aes-gcm-encryption,algotune,algotune-aes-gcm-encryption,25,1,0.038461538461538464,0.020714976992992476,0.07061419888965303,0.0,0.2843333142035982,0.019918247108646613,0.2820714165400692,0.9822021344405734,0.529663049950526,frontier,0,0
algotune/algotune-affine-transform-2d,algotune,algotune-affine-transform-2d,26,0,0.0,0.0028702738879872575,0.010484241220676793,0.0,0.0502899185949051,0.0028702738879872575,0.2737703022634167,1.0,0.2391705581339061,frontier,0,0
algotune/algotune-aircraft-wing-design,algotune,algotune-aircraft-wing-design,25,1,0.038461538461538464,0.2767803527682552,0.31467382374153313,0.0,0.8078655846436056,0.26670948964289753,0.4132051821159062,0.513109631236846,0.5706881137195449,hard,0,0
algotune/algotune-articulation-points,algotune,algotune-articulation-points,26,0,0.0,0.4516720437503704,0.22440428244468036,0.0,0.6841760343439683,0.4516720437503704,-0.686559304107432,1.766041917041241,0.41557074656350024,medium,0,0
algotune/algotune-base64-encoding,algotune,algotune-base64-encoding,25,1,0.038461538461538464,0.04789119338524287,0.14850581813741867,0.0,0.5840277590767514,0.046049224408887375,0.31008363838160263,0.9825398394213544,0.12984824100192455,frontier,0,0
algotune/algotune-battery-scheduling,algotune,algotune-battery-scheduling,25,1,0.038461538461538464,0.6913348919057857,0.2081171139483893,0.0,0.8332814091277343,0.6937707585356097,-1.5342998712280989,5.150861964640867,0.7332158827424012,medium,0,0
algotune/algotune-btsp,algotune,algotune-btsp,25,1,0.038461538461538464,0.177776171880977,0.23725864777370348,0.0,0.7411606465299573,0.17093862680863173,0.42983363418548814,0.5912956669343226,0.4633147743135449,hard,0,0
algotune/algotune-capacitated-facility-location,algotune,algotune-capacitated-facility-location,25,1,0.038461538461538464,0.519758204587828,0.16592432765737922,0.0,0.8078462602415514,0.5212481196009837,-0.24461381328421763,1.0696153402041777,0.5740052753635771,medium,0,0
algotune/algotune-chacha-encryption,algotune,algotune-chacha-encryption,25,1,0.038461538461538464,0.01470447127382294,0.04185061587981262,0.0,0.1736212210372118,0.014138914686368213,0.337842451995751,0.9829058766907856,0.3971032406172387,frontier,0,0
algotune/algotune-channel-capacity,algotune,algotune-channel-capacity,25,1,0.038461538461538464,0.11785597380648694,0.13497554070637993,0.0,0.6182049134381737,0.11766317220015823,0.024824188132906287,0.6816702223216418,0.04253959661188558,hard,0,0
algotune/algotune-chebyshev-center,algotune,algotune-chebyshev-center,26,0,0.0,0.5579752188117097,0.17934050349523614,0.0,0.756465391088903,0.5579752188117097,-1.7144867423760861,4.972266275043951,0.4422773673304622,medium,0,0
algotune/algotune-cholesky-factorization,algotune,algotune-cholesky-factorization,25,1,0.038461538461538464,0.28893905286382143,0.20173808587389164,0.0,0.6103800182968679,0.2913721260003939,-0.13982734744266626,0.4556043363421979,0.7089727780315703,hard,0,0
algotune/algotune-clustering-outliers,algotune,algotune-clustering-outliers,25,1,0.038461538461538464,0.07520569828158485,0.21748684526025644,0.0,0.8723071508754803,0.07231317142460082,289.3611539492227,855.3335570429102,0.18602301152825776,hard,0,0
algotune/algotune-communicability,algotune,algotune-communicability,25,1,0.038461538461538464,0.7934357855774725,0.16240730050395125,0.0,0.8489285914648412,0.7946516816167658,-4.334053864792505,22.722857918743664,0.5413467317944497,easy,0,0
algotune/algotune-convex-hull,algotune,algotune-convex-hull,24,2,0.07692307692307693,0.07372177673551365,0.17152401023061947,0.0,0.5961142412579207,0.06805087083278183,105.63245567069308,257.6152285405917,0.4723921281240202,hard,0,0
algotune/algotune-convolve-1d,algotune,algotune-convolve-1d,26,0,0.0,0.0006554184365009731,0.0014036568944408427,0.0,0.0044945012246131,0.0006554184365009731,0.4669363568096632,1.0,0.08597545552703524,frontier,0,0
algotune/algotune-convolve2d-full-fill,algotune,algotune-convolve2d-full-fill,25,1,0.038461538461538464,0.7812836839161384,0.16010591343547861,0.0,0.8377076415478971,0.7826553968232545,-5.226035962676415,23.948255722899965,0.5499930508591692,easy,0,0
algotune/algotune-correlate-1d,algotune,algotune-correlate-1d,25,1,0.038461538461538464,0.13957498192041373,0.19656307558527084,0.0,0.5227276934056301,0.13420671338501322,0.47016539753668596,0.681761461784528,0.3764729318276586,hard,0,0
algotune/algotune-correlate2d-full-fill,algotune,algotune-correlate2d-full-fill,25,1,0.038461538461538464,0.7721859724779615,0.1597275644108345,0.0,0.8301646232492018,0.7737340277587488,-1.9966645369058453,8.090428186018466,0.5867320204226562,easy,0,0
algotune/algotune-count-connected-components,algotune,algotune-count-connected-components,25,1,0.038461538461538464,0.49872572903364554,0.18867137520740104,0.0,0.7957337106436898,0.499749134960282,-0.2351307467947367,1.7008925726576496,0.5306215257038602,medium,0,0
algotune/algotune-count-riemann-zeta-zeros,algotune,algotune-count-riemann-zeta-zeros,26,0,0.0,0.4474623220046348,0.39542841945555296,0.0,0.9112499212970908,0.4474623220046348,-0.02105504683362306,0.4555722188700249,0.5313229888961625,medium,0,0
algotune/algotune-cumulative-simpson-1d,algotune,algotune-cumulative-simpson-1d,25,1,0.038461538461538464,0.14122014264561342,0.2193135312253254,0.0,0.6205219091379824,0.13657888160574688,0.7856470740915574,1.4645836355457218,0.45776638239535267,hard,0,0
algotune/algotune-cumulative-simpson-multid,algotune,algotune-cumulative-simpson-multid,25,1,0.038461538461538464,0.265920903135461,0.27539126496223,0.0,0.8008175676967513,0.2631909286177102,0.1317515170076825,0.5219688867061808,0.4317374835783372,hard,0,0
algotune/algotune-cvar-projection,algotune,algotune-cvar-projection,25,1,0.038461538461538464,0.23950496803920854,0.23000379245769692,0.0,0.6662245214967926,0.23990625991670428,-0.023301543688849406,0.52386553604461,0.5763013890415271,hard,0,0
algotune/algotune-cyclic-independent-set,algotune,algotune-cyclic-independent-set,25,1,0.038461538461538464,0.1441629801863656,0.3303266699511998,0.0,0.9079082201838428,0.13861825017919768,0.4196398982851618,0.9841658230744312,0.20007354397396643,hard,0,0
algotune/algotune-dct-type-i-scipy-fftpack,algotune,algotune-dct-type-i-scipy-fftpack,25,1,0.038461538461538464,0.41186264686305063,0.3046909285676395,0.0,0.7242994655928717,0.4193208372639302,-0.2778610812347729,0.4486976720940942,0.5938290088548595,medium,0,0
